program starts ... 
io initialization starts ... 
writing initial data to files ...
calculating golden model ... 
calculating using sim model ... 
result comparison ...
diff_out_fm[2][5][31] = -22176.941 44.799999 993571.75
diff_out_fm[2][6][30] = -43784.867 45.419998 1988753.9
diff_out_fm[2][6][31] = -21876.01 45.439999 994091.31
diff_out_fm[2][7][30] = -43199.023 46.060001 1989793.1
diff_out_fm[2][7][31] = -21583.434 46.080002 994610.75
diff_out_fm[2][8][30] = -42629.246 46.700001 1990832.5
diff_out_fm[2][8][31] = -21298.875 46.720001 995130.25
diff_out_fm[2][9][30] = -42074.863 47.34 1991871.5
diff_out_fm[2][9][31] = -21022.008 47.360001 995649.69
diff_out_fm[2][10][30] = -41535.281 47.98 1992910.8
diff_out_fm[2][10][31] = -20752.525 48 996169.19
diff_out_fm[2][11][30] = -41009.906 48.619999 1993950.2
diff_out_fm[2][11][31] = -20490.133 48.639999 996688.69
diff_out_fm[2][12][30] = -40498.176 49.259998 1994989.4
diff_out_fm[2][12][31] = -20234.555 49.279999 997208.12
diff_out_fm[2][13][30] = -39999.574 49.900002 1996028.8
diff_out_fm[2][13][31] = -19985.529 49.919998 997727.56
diff_out_fm[2][14][30] = -39513.602 50.540001 1997068
diff_out_fm[2][14][31] = -19742.809 50.560001 998247
diff_out_fm[2][15][30] = -39039.781 51.18 1998107.1
diff_out_fm[2][15][31] = -19506.16 51.200001 998766.56
diff_out_fm[2][16][30] = -38577.664 51.82 1999146.5
diff_out_fm[2][16][31] = -19275.352 51.84 999286
diff_out_fm[2][17][30] = -38126.824 52.459999 2000185.8
diff_out_fm[2][17][31] = -19050.172 52.48 999805.5
diff_out_fm[2][18][30] = -37686.855 53.099998 2001225
diff_out_fm[2][18][31] = -18830.42 53.119999 1000325
diff_out_fm[2][19][30] = -37257.359 53.740002 2002264.4
diff_out_fm[2][19][31] = -18615.898 53.759998 1000844.4
diff_out_fm[2][20][30] = -36837.977 54.380001 2003303.5
diff_out_fm[2][20][31] = -18406.426 54.400002 1001363.9
diff_out_fm[2][21][30] = -36428.348 55.02 2004342.6
diff_out_fm[2][21][31] = -18201.824 55.040001 1001883.4
